case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-001,PC1 cannot reach Server1 in VLAN 30.,PC1 (VLAN 10) and Server1 (VLAN 30) are on the same L3 switch with router-on-a-stick sub-interfaces for inter-VLAN routing.,"R1# show interfaces GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Internet address is 192.168.10.1/24
  Encapsulation 802.1Q Virtual LAN, Vlan ID 10.

R1# show interfaces GigabitEthernet0/0.30
GigabitEthernet0/0.30 is administratively down, line protocol is down
  Internet address is 192.168.30.1/24
  Encapsulation 802.1Q Virtual LAN, Vlan ID 30.
",Inter-VLAN routing failure because the VLAN 30 router sub-interface is administratively down.,Layer 3,VLAN,High
NET-002,New laptop on the Sales VLAN cannot get an IP address and shows APIPA (169.254.x.x).,Sales VLAN 20 uses a DHCP relay (ip helper-address) pointing to a central DHCP server on VLAN 1.,"SW1# show running-config interface vlan 20
interface Vlan20
 ip address 192.168.20.1 255.255.255.0
 no ip helper-address

SW1# show ip dhcp binding
IP address       Client-ID/       Lease expiration        Type
                  Hardware address
(no bindings for VLAN 20 clients)
","Missing 'ip helper-address' on VLAN 20 SVI, so DHCP DISCOVER broadcasts never reach the DHCP server.",Layer 3,DHCP,High
NET-003,Users can browse to internal servers by IP but not by hostname (e.g. intranet.corp.local fails).,All internal hosts use DHCP-assigned DNS pointing to the internal DNS server 10.10.1.53.,"PC1> ipconfig /all
   IPv4 Address. . . . . . . . . . : 10.10.5.44
   Default Gateway . . . . . . . . : 10.10.5.1
   DNS Servers . . . . . . . . . . : 10.10.1.53

PC1> ping 10.10.1.53
Request timed out. (4/4 lost)

R1# show ip route 10.10.1.53
% Network not in table
","No route to the DNS server subnet (10.10.1.0/24) in the routing table, so DNS queries silently fail while direct IP traffic to reachable hosts works.",Layer 3,DNS,Medium
NET-004,Branch office (192.168.50.0/24) cannot reach HQ subnet (192.168.1.0/24) over the WAN link.,Branch and HQ routers are connected via a point-to-point serial link running static routing.,"BranchR# show ip route
Gateway of last resort is not set

     192.168.50.0/24 is directly connected, GigabitEthernet0/0
     10.0.0.0/30 is directly connected, Serial0/0/0
(no route to 192.168.1.0/24)

BranchR# show run | include ip route
(no static routes configured)
",Missing static route (or default route) toward the HQ subnet 192.168.1.0/24 via the serial WAN link.,Layer 3,Routing,High
NET-005,HR staff can reach the file server but Finance staff on a different VLAN are unexpectedly blocked from it too.,An ACL was recently applied on the L3 switch's Finance VLAN interface to restrict access to the HR subnet only.,"SW1# show access-lists 101
Extended IP access list 101
    10 deny ip 192.168.40.0 0.0.0.255 192.168.10.0 0.0.0.255
    20 deny ip any any

SW1# show ip interface Vlan40 | include access list
  Outgoing access list is 101
","ACL 101 ends with an explicit 'deny ip any any' with no preceding permit statements, blocking all Finance VLAN traffic, not just the intended HR subnet restriction.",Layer 3,ACL,Critical
NET-006,Internal hosts behind the edge router cannot reach any Internet websites.,Edge router R1 connects the internal LAN (10.0.0.0/24) to the ISP via Gi0/1; NAT overload was configured to translate to the public interface.,"R1# show ip nat translations
(no translations present)

R1# show run | section ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
interface GigabitEthernet0/0
 ip address 10.0.0.1 255.255.255.0
interface GigabitEthernet0/1
 ip address 203.0.113.5 255.255.255.252

R1# show ip access-lists 1
Standard IP access list 1
    10 permit 10.0.0.0 0.0.0.255
","Neither Gi0/0 nor Gi0/1 has been marked as 'ip nat inside' / 'ip nat outside', so NAT overload never triggers even though the translation rule and ACL are correct.",Layer 3,NAT,High
NET-007,"Guest wireless users can see and print to an internal office printer, violating guest isolation policy.","The WLC maps the 'Guest-WiFi' SSID to VLAN 99, which should be isolated from the internal VLANs.","WLC# show wlan 2
WLAN Identifier.......... 2
Profile Name.............. Guest-WiFi
Network Name (SSID)........ Guest-WiFi
Interface.................. management

WLC# show interface summary
Interface Name    VLAN Identifier
management         99
guest-vlan         99
","Guest-WiFi WLAN is bound to the 'management' interface instead of the dedicated 'guest-vlan' interface, placing guest traffic on the same VLAN as management/internal traffic.",Layer 2,Wireless,Critical
NET-008,PC2 has full connectivity to the local subnet but cannot reach any remote network.,PC2 is a statically configured host on 192.168.5.0/24 behind gateway router R2.,"PC2> ipconfig
   IPv4 Address. . . . . . . . . . : 192.168.5.50
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.6.1

PC2> ping 192.168.5.1
Reply from 192.168.5.1: bytes=32 time=1ms TTL=255

PC2> ping 8.8.8.8
Request timed out. (4/4 lost)
","Default gateway on PC2 (192.168.6.1) is outside its own subnet (192.168.5.0/24) and does not match the real gateway (192.168.5.1), so all off-subnet traffic fails.",Layer 3,Gateway,Medium
NET-009,Two devices on the same VLAN intermittently lose connectivity and event logs show duplicate address warnings.,Servers on VLAN 10 are statically addressed; a new server was added by a junior admin last week.,"SW1# show ip arp | include Vlan10
Internet  192.168.10.20      -   0050.56aa.1122  ARPA   Vlan10
Internet  192.168.10.20      -   0050.56bb.3344  ARPA   Vlan10

%IP-4-DUPADDR: Duplicate address 192.168.10.20 on Vlan10, sourced by 0050.56bb.3344
","Duplicate IP address 192.168.10.20 assigned to two different MAC addresses on VLAN 10, causing ARP conflicts and intermittent loss.",Layer 3,Routing,Medium
NET-010,Trunk link between two switches is dropping VLAN 30 traffic only; other VLANs cross fine.,"SW1 and SW2 are connected via a trunk carrying VLANs 10, 20, and 30.","SW1# show interfaces trunk
Port        Mode       Encapsulation  Status       Native vlan
Gi0/1       on         802.1q         trunking     1

Port        Vlans allowed on trunk
Gi0/1       10,20

SW1# show vlan brief | include 30
30   Servers                          active
","VLAN 30 is not included in the trunk's allowed VLAN list on Gi0/1, so its traffic is pruned from the trunk even though the VLAN exists on the switch.",Layer 2,VLAN,High
NET-011,"Newly connected PC in the Marketing office gets no DHCP address at all, not even APIPA.",Marketing VLAN 25 access port was just patched into a new switch port by facilities staff.,"SW2# show interfaces GigabitEthernet0/5 status
Port      Name               Status       Vlan       Duplex  Speed
Gi0/5                        disabled     25         auto    auto

SW2# show run interface Gi0/5
interface GigabitEthernet0/5
 switchport access vlan 25
 switchport mode access
 shutdown
","Access port Gi0/5 is administratively shut down, so the PC has no Layer 1/2 connectivity at all and never sends a DHCP request.",Layer 1,DHCP,Medium
NET-012,Remote office users report that internal web app URLs resolve to the wrong (old) IP address.,DNS was recently migrated to a new internal server; app record was repointed to a new load balancer IP.,"DNS1# show hosts
Default domain is corp.local
Name/address lookup uses domain service
Host                       Flags      Age Type   Address
app.corp.local             (perm, OK)  40 IP     10.10.2.15

# Load balancer's actual current address:
# 10.10.2.115
",Stale/incorrect A record for app.corp.local still points to the decommissioned IP 10.10.2.15 instead of the current load balancer address 10.10.2.115.,Layer 7,DNS,Medium
NET-013,Remote branch loses connectivity to HQ every time the primary WAN link flaps; backup link never takes over.,Branch router has a primary route via Serial0/0/0 and a floating static backup route via Serial0/0/1.,"BranchR# show ip route static
S    192.168.1.0/24 [1/0] via 10.0.0.1
S    192.168.1.0/24 [1/0] via 10.0.1.1

BranchR# show run | include ip route
ip route 192.168.1.0 255.255.255.0 10.0.0.1
ip route 192.168.1.0 255.255.255.0 10.0.1.1
","The backup static route was configured with the same administrative distance (1) as the primary instead of a higher floating AD, so it is never truly a backup and both routes load-balance/conflict instead of failing over cleanly.",Layer 3,Routing,Medium
NET-014,External partners cannot reach the company's public-facing web server even though it works fine internally.,Web server sits in a DMZ behind the edge router; static NAT should map its private IP to a public IP.,"EdgeR# show ip nat translations
(no static translations present)

EdgeR# show run | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
(no static NAT entry for the web server)
","No static NAT (ip nat inside source static) entry exists for the DMZ web server, so only outbound-initiated overload NAT works; inbound connections from the Internet have nothing to translate to.",Layer 3,NAT,Critical
